Product ,,,Item Categorization,,,,,,,,,,Item Specs,,,,,,,,,,,,,,,Images,Pricing,,
SKU,SKU #,Product Satus,Product type,Style (Pattern),Category,Category (Trim),Collection,Usage,Color 1,Color 2,Fire Code,Min Order Qty.,Content,Cleaning Code,Finish,Style,Usage2,Repeat,Width (inches),Abrasion,Category2,Direction,Fire Code2,Color,Weight,Collection2,Roll size,File Name,Price Level 1,Price Level 3,Price Level 5
02050 Col. Brown,00021,Current,Trim,Solid/Plain,,Brushed Fringe,Portofino,Multi-purpose,Brown,,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.75,,,,,Brown,,Portofino,27.5 yds (25 m),02050-Brown.jpg,$1.97,$5.55,$3.94
02050 Col. Coral,00022,Current,Trim,Solid/Plain,,Brushed Fringe,Portofino,Multi-purpose,Red,Yellow,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.75,,,,,Coral,,Portofino,27.5 yds (25 m),02050-Coral.jpg,$1.97,$5.55,$3.94
02050 Col. Sage,00023,Current,Trim,Solid/Plain,,Brushed Fringe,Portofino,Multi-purpose,Neutral,,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.75,,,,,Sage,,Portofino,27.5 yds (25 m),02050-Sage.jpg,$1.97,$5.55,$3.94
02050 Col. Spa,00024,Discontinued,Trim,Solid/Plain,,Brushed Fringe,Portofino,Multi-purpose,Yellow,Multi,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.75,,,,,Spa,,Portofino,27.5 yds (25 m),,$1.97,$5.55,$3.94
0206-Silver,00025,Discontinued,Trim,Metallic,,Tapes/Braids,Metallic Collection,Multi-purpose,,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,1.25,,,,,Silver,,Metallic Collection,27.5 yds (25 m),,$2.08,$4.16,$4.22
0206-Antique,00026,Discontinued,Trim,Metallic,,Tapes/Braids,Metallic Collection,Multi-purpose,Green,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,1.25,,,,,Antique,,Metallic Collection,27.5 yds (25 m),,$2.08,$4.16,$4.22
0206-Gold,00027,Discontinued,Trim,Metallic,,Tapes/Braids,Metallic Collection,Multi-purpose,,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,1.25,,,,,Gold,,Metallic Collection,27.5 yds (25 m),,$2.08,$4.16,$4.22
0206-Titanium,00028,Discontinued,Trim,Metallic,,Tapes/Braids,Metallic Collection,Multi-purpose,,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,1.25,,,,,Titanium,,Metallic Collection,27.5 yds (25 m),,$2.08,$4.16,$4.22
0210-Silver,00029,Discontinued,Trim,Metallic,,Lip Cords,Metallic Collection,Multi-purpose,Silver,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.25,,,,,Silver,,Metallic Collection,27.5 yds (25 m),,$1.34,$4.01,$2.68
0210-Antique,00030,Current,Trim,Metallic,,Lip Cords,Metallic Collection,Multi-purpose,Green,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.25,,,,,Antique,,Metallic Collection,27.5 yds (25 m),0210-Antique.jpg,$1.34,$4.01,$2.68
0210-Gold,00031,Discontinued,Trim,Metallic,,Lip Cords,Metallic Collection,Multi-purpose,Gold,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.25,,,,,Gold,,Metallic Collection,27.5 yds (25 m),,$1.34,$4.01,$2.68
0210-Titanium,00032,Discontinued,Trim,Metallic,,Lip Cords,Metallic Collection,Multi-purpose,Black,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.25,,,,,Titanium,,Metallic Collection,27.5 yds (25 m),,$1.34,$4.01,$2.68
0212-Silver,00033,Current,Trim,Metallic,,Gimps,Metallic Collection,Multi-purpose,Silver,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.5,,,,,Silver,,Metallic Collection,27.5 yds (25 m),0212-SILVER.jpg,$2.08,$4.22,$4.16
0212-Antique,00034,Discontinued,Trim,Metallic,,Gimps,Metallic Collection,Multi-purpose,Green,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.5,,,,,Antique,,Metallic Collection,27.5 yds (25 m),,$2.08,$4.22,$4.16
0212-Gold,00035,Discontinued,Trim,Metallic,,Gimps,Metallic Collection,Multi-purpose,Gold,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.5,,,,,Gold,,Metallic Collection,27.5 yds (25 m),,$2.08,$4.22,$4.16
0212-Titanium,00036,Discontinued,Trim,Metallic,,Gimps,Metallic Collection,Multi-purpose,Black,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.5,,,,,Titanium,,Metallic Collection,27.5 yds (25 m),,$2.08,$4.22,$4.16
0283-Silver,00037,Discontinued,Trim,Metallic,,Cords,Metallic Collection,Multi-purpose,Silver,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.25,,,,,Silver,,Metallic Collection,27.5 yds (25 m),,$1.12,$3.58,$2.24
0283-Antique,00038,Discontinued,Trim,Metallic,,Cords,Metallic Collection,Multi-purpose,Green,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.25,,,,,Antique,,Metallic Collection,27.5 yds (25 m),,$1.12,$3.58,$2.24
0283-Gold,00039,Discontinued,Trim,Metallic,,Cords,Metallic Collection,Multi-purpose,Gold,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.25,,,,,Gold,,Metallic Collection,27.5 yds (25 m),,$1.12,$3.58,$2.24
0283-Titanium,00040,Current,Trim,Metallic,,Cords,Metallic Collection,Multi-purpose,Black,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.25,,,,,Titanium,,Metallic Collection,27.5 yds (25 m),0283-TITANIUM.jpg,$1.12,$3.58,$2.24
04007 Col. Black,00041,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Black,Neutral,,55,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,0.625,,,,,Black,,Portofino,55 yds (50.29 m),04007-Black.jpg,$0.98,$3.47,$1.96
04007 Col. Blue,00042,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Blue,White,,55,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,0.625,,,,,Blue,,Portofino,55 yds (50.29 m),04007-Blue.jpg,$0.98,$3.47,$1.96
04007 Col. Brown,00043,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Brown,,,55,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,0.625,,,,,Brown,,Portofino,55 yds (50.29 m),04007-Brown.jpg,$0.98,$3.47,$1.96
04007 Col. Coral,00044,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Pink,Neutral,,55,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,0.625,,,,,Coral,,Portofino,55 yds (50.29 m),04007-Coral.jpg,$0.98,$3.47,$1.96
04007 Col. Neutral,00045,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Neutral,,,55,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,0.625,,,,,Neutral,,Portofino,55 yds (50.29 m),04007-Neutral.jpg,$0.98,$3.47,$1.96
04007 Col. Sage,00046,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Neutral,Yellow,,55,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,0.625,,,,,Sage,,Portofino,55 yds (50.29 m),04007-Sage.jpg,$0.98,$3.47,$1.96
04007 Col. Spa,00047,Discontinued,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,,,,55,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,0.625,,,,,Spa,,Portofino,55 yds (50.29 m),,$0.98,$3.47,$1.96
04007 Col. Tuscan,00048,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Brown,Multi,,55,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,0.625,,,,,Tuscan,,Portofino,55 yds (50.29 m),04007-Tuscan,$0.98,$3.47,$1.96
04029 Col. Black,00049,Discontinued,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,,,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.25,,,,,Black,,Portofino,27.5 yds (25 m),,$1.97,$5.29,$3.94
04029 Col. Blue,00050,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Blue,White,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.25,,,,,Blue,,Portofino,27.5 yds (25 m),04029-Blue.jpg,$1.97,$5.29,$3.94
04029 Col. Brown,00051,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Brown,,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.25,,,,,Brown,,Portofino,27.5 yds (25 m),04029-Brown.jpg,$1.97,$5.29,$3.94
04029 Col. Coral,00052,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Pink,Yellow,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.25,,,,,Coral,,Portofino,27.5 yds (25 m),04029-Coral.jpg,$1.97,$5.29,$3.94
04029 Col. Neutral,00053,Discontinued,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,,,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.25,,,,,Neutral,,Portofino,27.5 yds (25 m),,$1.97,$5.29,$3.94
04029 Col. Sage,00054,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Neutral,Yellow,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.25,,,,,Sage,,Portofino,27.5 yds (25 m),04029-Sage.jpg,$1.97,$5.29,$3.94
04029 Col. Spa,00055,Current,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,Yellow,Teal,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.25,,,,,Spa,,Portofino,27.5 yds (25 m),04029-Spa.jpg,$1.97,$5.29,$3.94
04029 Col. Tuscan,00056,Discontinued,Trim,Solid/Plain,,Gimps,Portofino,Multi-purpose,,,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,1.25,,,,,Tuscan,,Portofino,27.5 yds (25 m),,$1.97,$5.29,$3.94
05000 Col. Black,00057,Current,Trim,Solid/Plain,,Tassel Fringes,Portofino,Multi-purpose,Black,Neutral,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,2.25,,,,,Black,,Portofino,27.5 yds (25 m),05000-Black.jpg,$3.08,$5.82,$6.16
05000 Col. Blue,00058,Current,Trim,Solid/Plain,,Tassel Fringes,Portofino,Multi-purpose,Blue,White,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,2.25,,,,,Blue,,Portofino,27.5 yds (25 m),05000-Blue.jpg,$3.08,$5.82,$6.16
05000 Col. Brown,00059,Current,Trim,Solid/Plain,,Tassel Fringes,Portofino,Multi-purpose,Brown,,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,2.25,,,,,Brown,,Portofino,27.5 yds (25 m),05000-Brown.jpg,$3.08,$5.82,$6.16
05000 Col. Coral,00060,Current,Trim,Solid/Plain,,Tassel Fringes,Portofino,Multi-purpose,Pink,Yellow,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,2.25,,,,,Coral,,Portofino,27.5 yds (25 m),05000-Coral.jpg,$3.08,$5.82,$6.16
05000 Col. Neutral,00061,Current,Trim,Solid/Plain,,Tassel Fringes,Portofino,Multi-purpose,Neutral,,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,2.25,,,,,Neutral,,Portofino,27.5 yds (25 m),05000-Neutral.jpg,$3.08,$5.82,$6.16
05000 Col. Sage,00062,Current,Trim,Solid/Plain,,Tassel Fringes,Portofino,Multi-purpose,Neutral,Yellow,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,2.25,,,,,Sage,,Portofino,27.5 yds (25 m),05000-Sage.jpg,$3.08,$5.82,$6.16
05000 Col. Spa,00063,Current,Trim,Solid/Plain,,Tassel Fringes,Portofino,Multi-purpose,Neutral,Multi,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,2.25,,,,,Spa,,Portofino,27.5 yds (25 m),05000-Spa.jpg,$3.08,$5.82,$6.16
05000 Col. Tuscan,00064,Current,Trim,Solid/Plain,,Tassel Fringes,Portofino,Multi-purpose,Multi,,,27.5,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,2.25,,,,,Tuscan,,Portofino,27.5 yds (25 m),05000-Tuscan.jpg,$3.08,$5.82,$6.16
06000 Col. Black,00065,Current,Trim,Solid/Plain,,Chair tie,Portofino,Multi-purpose,Black,Neutral,,12,100% Polyester,,,Solid/Plain,Multi-purpose,,,,,,,Black,,Portofino,Package of 12 pcs,06000-Black.jpg,$6.08,$11.00,$12.16
06000 Col. Blue,00066,Discontinued,Trim,Solid/Plain,,Chair tie,Portofino,Multi-purpose,,,,12,100% Polyester,,,Solid/Plain,Multi-purpose,,,,,,,Blue,,Portofino,Package of 12 pcs,,$6.08,$11.00,$12.16
06000 Col. Brown,00067,Current,Trim,Solid/Plain,,Chair tie,Portofino,Multi-purpose,Brown,,,12,100% Polyester,,,Solid/Plain,Multi-purpose,,,,,,,Brown,,Portofino,Package of 12 pcs,06000-Brown.jpg,$6.08,$11.00,$12.16
06000 Col. Coral,00068,Discontinued,Trim,Solid/Plain,,Chair tie,Portofino,Multi-purpose,,,,12,100% Polyester,,,Solid/Plain,Multi-purpose,,,,,,,Coral,,Portofino,Package of 12 pcs,,$6.08,$11.00,$12.16
06000 Col. Neutral,00069,Discontinued,Trim,Solid/Plain,,Chair tie,Portofino,Multi-purpose,,,,12,100% Polyester,,,Solid/Plain,Multi-purpose,,,,,,,Neutral,,Portofino,Package of 12 pcs,,$6.08,$11.00,$12.16
06000 Col. Sage,00070,Current,Trim,Solid/Plain,,Chair tie,Portofino,Multi-purpose,Yellow,,,12,100% Polyester,,,Solid/Plain,Multi-purpose,,,,,,,Sage,,Portofino,Package of 12 pcs,06000-Sage.jpg,$6.08,$11.00,$12.16
06000 Col. Spa,00071,Current,Trim,Solid/Plain,,Chair tie,Portofino,Multi-purpose,Teal,Multi,,12,100% Polyester,,,Solid/Plain,Multi-purpose,,,,,,,Spa,,Portofino,Package of 12 pcs,06000-Spa.jpg,$6.08,$11.00,$12.16
06000 Col. Tuscan,00072,Current,Trim,Solid/Plain,,Chair tie,Portofino,Multi-purpose,Multi,,,12,100% Polyester,,,Solid/Plain,Multi-purpose,,,,,,,Tuscan,,Portofino,Package of 12 pcs,06000-Tuscan.jpg,$6.08,$11.00,$12.16
06100 Col. Black,00073,Current,Trim,Solid/Plain,,Key Tassel,Portofino,Multi-purpose,Black,Neutral,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Black,,Portofino,Package of 12 pcs,06100-Black.jpg,$3.62,$7.32,$7.24
06100 Col. Blue,00074,Discontinued,Trim,Solid/Plain,,Key Tassel,Portofino,Multi-purpose,,,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Blue,,Portofino,Package of 12 pcs,,$3.62,$7.32,$7.24
06100 Col. Brown,00075,Current,Trim,Solid/Plain,,Key Tassel,Portofino,Multi-purpose,Brown,,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Brown,,Portofino,Package of 12 pcs,06100-Brown.jpg,$3.62,$7.32,$7.24
06100 Col. Coral,00076,Current,Trim,Solid/Plain,,Key Tassel,Portofino,Multi-purpose,Pink,Yellow,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Coral,,Portofino,Package of 12 pcs,06100-Coral.jpg,$3.62,$7.32,$7.24
06100 Col. Neutral,00077,Discontinued,Trim,Solid/Plain,,Key Tassel,Portofino,Multi-purpose,,,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Neutral,,Portofino,Package of 12 pcs,,$3.62,$7.32,$7.24
06100 Col. Sage,00078,Current,Trim,Solid/Plain,,Key Tassel,Portofino,Multi-purpose,Neutral,Yellow,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Sage,,Portofino,Package of 12 pcs,06100-Sage.jpg,$3.62,$7.32,$7.24
06100 Col. Spa,00079,Current,Trim,Solid/Plain,,Key Tassel,Portofino,Multi-purpose,Teal,Multi,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Spa,,Portofino,Package of 12 pcs,06100-Spa.jpg,$3.62,$7.32,$7.24
06100 Col. Tuscan,00080,Current,Trim,Solid/Plain,,Key Tassel,Portofino,Multi-purpose,Multi,,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Tuscan,,Portofino,Package of 12 pcs,06100-Tuscan.jpg,$3.62,$7.32,$7.24
06200 Col. Black,00081,Discontinued,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Black,,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Black,,Portofino,Package of 12 pcs,,$4.85,$8.49,$9.70
06200 Col. Blue,00082,Current,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Blue,White,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Blue,,Portofino,Package of 12 pcs,06200 Col. Blue.jpg,$4.85,$8.49,$9.70
06200 Col. Brown,00083,Discontinued,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Brown,,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Brown,,Portofino,Package of 12 pcs,,$4.85,$8.49,$9.70
06200 Col. Coral,00084,Current,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Multi,,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Coral,,Portofino,Package of 12 pcs,06200-Coral.jpg,$4.85,$8.49,$9.70
06200 Col. Neutral,00085,Current,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Neutral,,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Neutral,,Portofino,Package of 12 pcs,06200-Neutral.jpg,$4.85,$8.49,$9.70
06200 Col. Sage,00086,Current,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Neutral,Yellow,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Sage,,Portofino,Package of 12 pcs,06200-Sage.jpg,$4.85,$8.49,$9.70
06200 Col. Spa,00087,Current,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Teal,Multi,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Spa,,Portofino,Package of 12 pcs,06200-Spa.jpg,$4.85,$8.49,$9.70
06200 Col. Tuscan,00088,Discontinued,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Brown,Multi,,12,50% Viscose 50% Cotton,,,Solid/Plain,Multi-purpose,,,,,,,Tuscan,,Portofino,Package of 12 pcs,,$4.85,$8.49,$9.70
06300 Col.Black,00089,Discontinued,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,,,,12,,,,Solid/Plain,Multi-purpose,,,,,,,Black,,Portofino,Package of 12 pcs,,$8.53,$13.46,$17.06
06300 Col.Blue,00090,Current,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Blue,White,,12,,,,Solid/Plain,Multi-purpose,,,,,,,Blue,,Portofino,Package of 12 pcs,06300-BLUE.jpg,$8.53,$13.46,$17.06
06300 Col.Brown,00091,Current,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Brown,Neutral,,12,,,,Solid/Plain,Multi-purpose,,,,,,,Brown,,Portofino,Package of 12 pcs,06300-BROWN.jpg,$8.53,$13.46,$17.06
06300 Col.Coral,00092,Current,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Pink,Multi,,12,,,,Solid/Plain,Multi-purpose,,,,,,,Coral,,Portofino,Package of 12 pcs,06300-CORAL.jpg,$8.53,$13.46,$17.06
06300 Col.Natural,00093,Current,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Neutral,,,12,,,,Solid/Plain,Multi-purpose,,,,,,,Natural,,Portofino,Package of 12 pcs,06300-NATURAL.jpg,$8.53,$13.46,$17.06
06300 Col.Sage,00094,Current,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,Neutral,Yellow,,12,,,,Solid/Plain,Multi-purpose,,,,,,,Sage,,Portofino,Package of 12 pcs,06300-SAGE.jpg,$8.53,$13.46,$17.06
06300 Col.Spa,00095,Discontinued,Trim,Solid/Plain,,Tieback/Holdback,Portofino,Multi-purpose,,,,12,,,,Solid/Plain,Multi-purpose,,,,,,,Spa,,Portofino,Package of 12 pcs,,$8.53,$13.46,$17.06
0830-Silver,00096,Current,Trim,Metallic,,Cords,Metallic Collection,Multi-purpose,Silver,,,27.5,100% Polyester,,,Metallic,Multi-purpose,,0.5,,,,,Silver,,Metallic Collection,27.5 yds (25 m),0830-SILVER.jpg,$1.59,$4.54,$3.18
